Question,Answer
متى فرض الحج على المسلمين؟ , ُفرض في السنة السادسة، وقيل: في التاسعة، وقيل: إنه في العاشرة، وفيها حج النبي.
 ما هي أشهر الحج؟, هي شوال، وذو القعدة، والعشر الأول من شهر ذي الحجة. .
 ما معنى كلمة ُنسك؟, هذا اللفظ له ثلاثة إطلاقات: فيطلق على العبادة، فيقال: رجل ناسك أي عابد، ويطلق على الأضحية، فيقال لها نسيكة، ويطلق على عبادة الحج، ويقال: نسك الحج أو العمرة. 
 كم مرة اعتمر النبي؟, اعتمر [ أربع عمرات: عمرة الحديبية، والقضاء، والجعرانة وعمرته في الحج ( حج القران .) 
 كم مرة حج النبي؟, حج النبي بالمسلمين مرة واحدة في السنة العاشرة، وهي المسماة بحجة الوداع.    
لم وصفت حجة النبي بالوداع؟, لأنه [ ودع فيها الآل والاصحاب  بقوله: (لعلي لا ألقاكم بعد عامي هذا.) 
لِم حج أبو بكر ] بالناس قبل النبي؟, قيل: لان النبي كان يستقبل وفود المسلمين ممن دخلوا حديثا في الدين، وقيل: حتى يطهر أبو بكر ] مكة من الأصنام، ويبعد المشركين عن بيت الله سبحانه. 
هل الحج من أركان الإسلام؟, نعم ، لقول النبي :[ « ُبني الإسلام على خمس: شهادة أن لا إله إلا الله، وأن محمدا رسول الله، وإقام الصلاة ، وإيتاء الزكاة، وحج البيت، وصوم رمضان .» رواه مسلم 
ما تعريف مصطلح (احلج)؟, لغة: هو القصد. وشرعا: قصد البيت الحرام في زمن مخصوص، بنية أداء المناسك؛ امتثالا ألمر الله. 
هل يمكن تأخير أداء الحج؟,على الناس حج البْيت  لا ينبغي التأخير، والوجوب يفيد الإسراع إبراء للذمة. 
بعض الناس في سعة من المال ، وصحة في البدن، لكن التسويف في أداء فريضة الحج يمنعه عن المضي. فما التوجيه له؟,على قدر توقير وتعظيم العبد لربه فسنجد فيه الشوق والحرص على العبادات، ومن كانت الدنيا تشغله، وجمع الأموال يحجزه، والاجتماعات 
ما فضل أداء عبادة الحج؟, من الفضائل الكثيرة: مغفرة الذنوب، قال النبي :[ «من حج هذا البيت فلم يرفث ولم يفسق رجع كيوم ولدته أمه.» متفق عليه، والثواب بالجنة، وقال :[ «العمرة إلى العمرة كفارة ملا بينهما، والحج المبرور ليس له جزاء إلا الجنة.» رواه مسلم 
ما معنى ( الرفث) و ( الفسوق)؟, الرفث: كل ما يتعلق بالشهوة بن الذكر والأنثى؛ من النظر واللمس وغيرها، والفسوق: هي المعاصي والكلام الباطل. 
ما معنى قول: (رجع كيوم ولدته أمه)؟, أي: رجع من الحج عاريا من الذنوب.
 كيف يكون الحج مبرورا؟, يكون مبرورا حين لا يخالطه إثم، مثل النظر للنساء الأجنبيات، أو التدخين، أو الكلام السيء، ويكون فيه الإخلاص لله تعالى، مع حسن الإتباع لهدي النبي .[ 
ما الامور التي ينبغي عملها ليكون الحج صحيحا إن شاء الله؟, أن يقرأ الحاج في أحكام العمرة واحلج، من جهة معرفة الإركان والواجبات والشروط، مع الحذر من البدع.    
ما الامور التي ينبغي عملها ليكون الحج مقبولا إن شاء الله؟, نعم، أن يكون متبعا لسنة النبي في أداء الإعمال، وأن يكون الحج من مال حال، ويحذر من المعاصي، وعليه أن يكون هين ًا لين ًا سهل كريما في أمره كله، مع الإحسان للإخوان، وتجنب إيذاء المسلمين. 
هل هناك فرق بني صحة العمل، وقبوله عند الله؟, نعم، فصحة العمل تتعلق بأداء العبادة ظاهرا؛ بشروطها وأركانها، ويقال له الجزاء، أما القبول فهو النتيجة والجزاء وهو عند الله؛ وبما يتحقق معها من مثوبة وأجر. 
هل الوقوع في الشركيات أو البدع لها سبب في عدم قبول الطاعات؟, نعم، لها سبب كبير في منع القبول عن الفاعل. 
ما حكم عدم رد حقوق الناس في قبول الطاعات؟, ُيخشى عليه من عدم القبول للطاعات. 
بعض الناس ينصح من حج الإ يحج مرة ثانية وثالثة بحجة أن يفسح لغيره المجال، ما القول في هذا؟, الإمر يرجع فيه إلى توضيح، قال الشيخ ابن عثيمين: «والله أنا أتوقف في هذا؛ فتارة أقول: إذا رأينا الزحام الشديد وأن الإنسان يتعب بنفسه في أمر قد يكون بقاؤه في بلده أخشع وأتقى لله؛ ألنه في بلده سوف يقيم على ذكر وتكبير وقراءة قرآن وصيام وصدقة وإحسان، ويؤدي العبادات مطمئنا فيها، فتارة أقول: هذا أفضل. وتارة إذا رأيت الأدلة الدالة على الحث على الحج وبيان فضله أقول: أن يحج أفضل. ثم إذا رأيت -أيضا- أن الحجاج بعضهم يحج فريضة، وبعضهم نافلة، ولا شك أن الأمكنة -أمكنة المناسك والمشاعر- لمن يؤدي الفريضة أولى؛ ألنه أحق بها ممن يحج تطوع ًا، فأنا متردد في هذا، أخشى إن قلت: لا تحجوا والنصوص جاءت بالحث على الحج أن يكون في هذا إثم عظيم، وإذا نظرت إلى المصالح ودفع المفاسد وتخفيف الضرر على الناس قلت: عدم الحج أفضل، ومن عنده فضل مال فأبواب الخير كثيرة.» 
هل ورد الحث على المداومة على أداء الحج والعمرة؟, نعم، لحديث ابن عباس مرفوعا: «تابعوا بن الحج والعمرة فإنهما ينفيان الفقر والذنوب، كما ينفي الكير خبث الحديد.» رواه النسائي، وهذا لمن تيسر له ذلك الإداء تارة للحج وأخرى للعمرة، ولم يقصر في نفقة أهله. 
أيهما أفضل للمسلم ذهابه للحج تطوعا، أو إعانته لمعسر في أداء فريضة الحج؟, الأولى إعانة المعسر لتيسير أداء الفريضة، والدال على الخير كفاعله. 
ما حكم من يتأخر عن أداء حجة الإسلام (الفريضة)؟, ُيخشى عليه من الإثم، فعن أبي هريرة ] قال: خطبنا رسول الله [ فقال: « أيها الناس قد فرض الله عليكم الحج، فحجوا.» متفق عليه، والأمر يفيد وجوب المسارعة بالفعل. 
من يتأخر عن حج الفريضة بحجة الزحام، ما حكم فعله؟,هذا عذر باطل، فقد صح عن النبي أنه قال: «جهاد الكبير والصغير والضعيف والمرأة: الحج والعمرة .» رواه النسائي  
بعض النساء يتأخرن عن الحج للمشقة.. ما حكم ذلك؟, هذا عذر غريب، فعن عائشة رضي الله عنها قالت: يا رسول الله، ترى الجهاد في سبيل الله أفضل العمل، أفا نجاهد؟ قال :[ «لك ن أفضل الجهاد؛ حج مبرور» متفق عليه. قالت  عائشة: افا أدع الحج بعد إذ سمعت هذا من رسول الله .
على من يجب الحج؟, يجب على: المسلم ( الذكر، والأنثى) ، العاقل، البالغ، الحر، المستطيع للزاد والراحلة. مع اشتراط وجود المحرم للمرأة. 
كيف تتحقق الاستطاعة في الحج؟, تتحقق بصحة البدن، و بأمان الطريق على النفس والمال ، وأن يكون الحاج مالكا للزاد والراحلة، والمرأة معها المحرم. 
هل يجب الحج على الأعمى؟, نعم إن كان له قائد. 
هل على المجنون حج؟, لا، لفقده شرط وجود العقل الذي هو أساس التكليف. 
هل يمكن الحج عن المجنون إنابة؟,ال ُيحج عنه إنابة لعدم فرضية الحج عليه. 
هل ُيشترط مع الحج زيارة مسجد أو قبر النبي؟,    ليس للزيارة تعلق بأعمال الحج، لكن ُيشرع في أي وقت من السنة زيارة مسجد النبي للصلاة فيه، والسلام عليه. 
ما صحة القول بأن العمرة في رمضان واجبة على كل مسلم؟, غير صحيح، فالعمرة واجبة مرة في العمر، وهي في رمضان مستحبة. 
ما أجر أداء العمرة في رمضان؟, قال :[ «عمرة في رمضان تعدل حجة.» رواه البخاري 
متى يبدأ وقت العمرة لتكون عمرة في رمضان؟, يبدأ مع وقوع الإحرام وأداء العمرة بعد ثبوت رؤية هال رمضان. 
هل هناك أفضلية لعمرة ليلة السابع والعشرين من رمضان؟, لا، ولذا لا يجوز تخصيص ليلة سبع وعشرين بعمرة. 
هل هناك عمرة مشروعة في رجب (العمرة الرجبية)؟, لم يثبت بنص صحيح أن النبي خص شهر رجب بعمرة، أو بفضل فيه. 
ما فضل الإيام العشرة الأولى من ذي الحجة؟, العمل الصالح فيها له أجر عظيم ، قال النبي : «ما من أيام العمل الصالح فيها أحب إلى الله من هذه الإيام - أي العشر الأول من ذي الحجة- قالوا: يا رسول الله ولا الجهاد في سبيل الله؟ قال :[ ولا الجهاد، إلا رجل خرج بنفسه وماله فلم يرجع من ذلك بشيء.» رواه البخاري   
 لماذا استغرب بعض الصحابة من أمر النبي | لهم بالتحلل من عمرتهم في حجة الوداع؟, لان من عادة العرب قبل الإسلام عدم فعل العمرة في أشهر الحج، ويعدون فعل العمرة فيها من المنكرات. 
هل من السنة لمن لم يتيسر له الحج أن يرسل شيئا إلى مكة؟, نعم، فهذا كان يفعله النبي، إذ كان يرسل الهدي ملكة.  
  هل ينبغي على من أراد الحج أو العمرة الاطلاع على أحكام الحج قبل أداء العبادة؟, نعم ، ينبغي عليه القراءة والتفقه والسؤال، خاصة مع انتشار الرسائل الميسرة والموضحة لأحكام هذه العبادة ، أو الاستفهام ممن يوثق في علمه ودينه. 
هل ُيستحب اصطحاب كتاب في المناسك مع أداء الحج؟, نعم، فهذ فيه توجيه للحاج في عمله.
 ما الواجب على طلبة العلم تذكره خلال رحلة أداء النسك؟, عليهم -وفقهم الله- تقوى الله في أي فتوى تصدر منهم، ومراعاة أحوال الناس، مع أهمية إرجاع القول والفتوى إلى مرشد الحملة (المفتي) وعدم التسرع فيها. 
هل يحرص المسلم على اقتناء كتيبات الأدعية قبل الحج؟, لا بأس بذلك، إن لم يعتقد أن هذه الأدعية مخصوصة بالطواف والسعي أو عرفة، إلا ما ثبت به الدليل. 
هل ُتشرع الاستخارة قبل المضي للحج؟, نعم، لكن لا تكون لذات الحج، وإمنا ترجع لتعين وقت السفر واختيار الرفقة، أو اختيار حملة الحج.
 (الأجر على قدر المشقة) فما صحة من فهم من ذلك البعد عن الراحة والترفه في الحج؟, ربنا يريد بنا اليسر ولا يريد بنا العسر والمشقة، والواجب على المسلم ابتداء ان لا يطلب المشقة والتعب، فعن عقبة بن عامر الجهني أنه قال: نذرت أختي أن تمشي إلى الكعبة حافية حاسرة! فأتى عليها رسول الله [ فقال: «ما شأن هذه»؟ قالوا: نذرت أن تمشي إلى الكعبة حافية حاسرة! فقال: «م ُروها فلتختمر ،ولتركب، ولتحج .» رواه الطبراني 
إن وقعت به مشقة، فما الواجب عليه فعله؟, إن وقعت بالمسلم مشقة فعليه بالصبر، لان الاجر سيكون على قدر المشقة التي وقعت به وصبر عليها، لقوله [ لعائشة: ِك (أي: مشقتك .») رواه البخاري  ِك على قدر نصبِ  «أجر   
لو أمر الطبيب أي مريض بعدم أداء العمرة أو الحج، فهل يجب عليه طاعته؟, نعم، لان الطبيب أعلم بقدرة الإنسان من الناحية الطبية على أداء النسك، وهذا من باب الاستطاعة، وهذا إذا كان الطبيب من أهل الثقة. 
ما مشروعية ذهاب الحامل للحج؟, ُيشرع لها ذلك، لكن بعد أخذ رأي الاطباء في هذا الإمر. 
ما الفترة الآمنة للحامل لأداء العمرة أو الحج؟, الفترة الآمنة طبيا لذلك هي ما بن الشهر الرابع والسادس. 
هل ُيشرع الذهاب بالصغير إلى الحج؟,نعم، ودليله ما جاء عن ابن عباس ] أن النبي لقي ركبا  َم ْن القوم؟ قالوا: المسلمون. فقالوا: من  بالروحاء، فقال:  أنت؟ قال: «رسول الله»، فرفعت إليه امرأة صبي ًا، فقالت: ألهذا حج؟ قال: «نعم ، ولك أجر.» رواه مسلم 
ما حكم حج الصغير؟, يكون حج الصبي نافلة وله أجر، وتلزمه حجة الإسلام بعد بلوغه. 
ما حكم الإستدانة لأداء فريضة الحج؟, لا ُتشرع، لان من لا ميلك نفقة الحج لا تجب عليه هذه العبادة، وهذا يعد من عدم الاستطاعة، إلا لمن كان له قدرة على السداد. 
أيهما مقدم في الإنجاز: الد ْين أو أداء الحج؟, قضاء الدين مق ّدم على الحج إن لم تكن هناك نفقة تكفي للاثنين. شخص عليه ديون مستوفاة السداد في وقتها من غير تأخير، 
هل يستطيع أن يحج؟, نعم يستطيع، فالديون العقارية وكذا الديون التجارية املستوفاة السداد في مواعيدها شهريا ليست بمانعة من أداء العبادة. 
ما صحة القول بأنه إذا كان على الرجل قرض فعليه أن يستأذن من صاحب الدين في الحج ، ليتمكن من أداء الحج؟, غير صحيح، وبمقدوره الذهاب للحج حتى وإن لم يستأذن إن كانت هناك نفقة تكفي القسط، أو كان السداد في الموعد المستحق، أو عنده بقية مال يغطي الدين بأكمله للسداد من بعد الحج، فلا بأس بالذهاب للحج. 
إن كانت النفقة لا تكفي إلا لعمل واحد؛ إما سداد القسط أو الحج، فأيهما نبدأ به؟, إن كان الحج مانعا من التسديد في وقته فعليه المبادرة بتسديد القرض وعدم الذهاب للحج. 
شخص عليه قرض مالي، وأراد أن يسدده فلم يجد صاحبه. هل بمقدوره الحج؟, نعم، لكن تقدمي الد ْين أوجب؛ إن كان الد ْين حال، وعليه أن يجتهد في العثور على صاحبه 
امرأة عملت (جمعية)، هل بإمكانها أن تحج من هذا المال ؟, لا بأس إن شاء الله، لان هذا المال  مقدور على سداده في وقته، ويعتبر في حكم التملك له.
شخص يريد أن يحجج والديه من ماله اولا قبل أن يذهب الحج، مع العلم أنه لم يؤد فريضة الحج ، فهل تبرعه هذا إلى صحيح؟, لا بأس بهذا الفعل وهذا من البر بالوالدين، ولا يشترط حج المتبرع اولا قبل التبرع. 
هل لا بد أن يحج المسلم من ماله اخلاص؟, الأولى أن يحج المسلم من ماله، لكن إن توفر المال  احلال من أي جهة – من غير سؤال له - فلا بأس أن يأخذه ويحج به.    
 هل يجوز للمعسر الذهاب للحج من مال الزكاة؟, يجوز، ألنه يمكن النفقة على الحج من مصرف في سبيل الله، وفي الحديث: «إن الحج والعمرة لمن سبيل الله» . رواه احلاكم وصححه ووافقه الإلباني . وفي الحديث: «النفقة في الحج كالنفقة في سبيل الله بسبعمائة ضعف» . رواه أحمد وقال الإرناؤوط: حسن لغيره.  
ما أجر من  ُيعطي إنسانا مال لييسر له الذهاب إلى الحج؟,الدال على الخير كفاعله، والنبي قال: ..« ومن يسر على معسر، يسر الله عليه في الدنيا والآخرة .» متفق عليه 
من نذر أن يحج ، لكنه لم يحج الفريضة ، ماذا يعمل؟, أفتى ابن عمر ] وعطاء أنه يبدأ بفريضة الحج، ثم يفي بنذره، وهو الصحيح إن شاء الله. 
هل يلزم على المرأة أن تستأذن زوجها لأداء حج الفريضة؟, نعم، تستأذن منه خاصة في حج الفريضة حلقه، فإن رفض وليس ثمة عذر شرعي عنده، فلها أن تخالفه لأداء الفريضة مع أي محرم لها، ألنه لا طاعة لمخلوق في معصية الخالق. 
هل يجب الاستئذان من الوالدين في أداء الحج؟, نعم، لعظيم مكانتهما ومنزلتهما، وعلى الخصوص في حج التطوع. 
لو منعت الام ولدها من الذهاب حلج التطوع فهل يطيعها؟, نعم، لان طاعتها واجبة
هل يشترط الإذن لأداء حج الفريضة بدون استئذان مسؤول العمل؟, إن كان حلج الفريضة، فعليه أن يبادر للحج بأن يأخذ إجازة الحج الرسمية المقررة له، فإن كان في بلد لا يخصصون اجازة خاصة للحج فعليه أن يأخذ اجازة خاصة، لان الواجب الشرعي مقدم على عمل الدنيا.
 ما حكم أداء حج التطوع أثناء العمل بدون استئذان منهم؟, لا يجوز هذا التصرف، لان في ذلك عدم وفاء بالعقود مع المسؤولون، والوفاء بالعقود واجب علينا، والواجب مقدم على النوافل الشرعية، مثل حج التطوع.
 ماذا يسن (يستحب) فعله لمن أراد العمرة أو الحج؟, المستحب: الاغتسال، تجديد التوبة مع الله سبحانه، توديع وحث الاهل على تقوى الله، كتابة وصيته إن كانت عليه ديون.
 هل يجوز تأخير الاغتسال إلى الميقات؟, نعم، لان المسافر بطريق البر سينزل في الميقات، والأمر يشمل المرأة كذلك، ولو فعله في البيت فلا حرج عليه.
 سنن الفطرة (حلق الإبط والعانة) هل لها عالقة بالاستعداد للنسك؟, لا عاقة لها بالاستعداد للعمرة أو الحج. 
ما حكم من يفعلها قبل العمرة أو الحج؟, لعل هذا من تمام الاستعداد للدخول في هذا النسك المبارك 
إذا دخلت العشر الأولى من ذي الحجة فال يجوز الإخذ من الشعر والظفر لمن أراد أن يضحي، فهل هذا يشمل من أراد الحج ولا يزال في بلده؟, لا يشمله إلا إذا أراد أن يضحي وأيضا الذهاب للحج. 
زوج يريد الحج وأراد أن يضحي في بلده، فهل تنوب عنه الزوجة في إحرام الأضحية؟, لا يجوز، لان إحرام الأضحية متعلق مبن أراد أن يضحي فقط. 
هل ُيشرع عمل أضحية لمن يرغب بأداء نسك الحج؟, الحاج له نحر واحد وهو الهدي. 
بعض الناس إذا حج الفريضة، وأتت السنة التالية يقول: سوف أحج حجة أخرى ألني شاك في الأولى أنها ليست صحيحة! فهل تكون الثانية فريضة أم نافلة ؟, تكون الثانية نافلة، فالشك لا يغير الامور ألنه قد يكون من الوسواس، والأساس على ما مضى. 
ما حكم تطييب ثياب الإحرام استعدادا للعمرة؟, لا يجوز، لان النبي قال: ..«وال تلبسوا ثوبا مسه الزعفران ولا الورس.» رواه البخاري ومسلم 
هل فريضة الحج مقدمة على الزواج؟,من كان محتاجا للزواج ويش ّق عليه تركه؛ فإنه يقدمه على  الحج، ويعتبر هذا من الحاجيات المهمة، وإلا فإنه يقدم الحج. 
لو وافق الحاج صالة جمعة في مكة ..فهل يجب حضورها؟, لا تجب الجمعة على المسافر، وله أن يصلي الظهر في سكنه قصرا، ولو رغب جمعها مع العصر فله ذلك. 
ما حكم من صلى الجمعة في الحج؟, له أجرها، مع مضاعفة الاجر بإذن الله لوجوده في مكة.   
ما شروط النائب (الذي يحج عن غيره) في الحج؟, ينبغي على النائب أن يحج عن نفسه اولا، وأن يكون ثقة مؤمتنا في أداء ما أنيب فيه. 
هل ُيشرع الحج عن أب أدى فريضة الحج، ثم مات؟, لا بأس لو حج عن والده، والأولى أن يكثر له الدعاء، ويكثر الابن من عمل الصالحات لنفسه؛ لان احلي بحاجة لكل حسنة. 
ما حكم أخذ المال  عن حجة الإنابة؟, من أخذ المال  ليحج فقد أحسن، ومن حج ليأخذ فقد أساء. 
هل تجوز إنابة الأنثى عن الذكر في أداء الحج؟, تجوز، فعن ابن عباس قال: جاءت امرأة من خثعم، فقالت: يا رسول الله، إن فريضة الله على عباده في الحج أدركت  ُت على الراحلة، أفاحج عنه؟ قال :[  أبي شيخا كبيرا، لا يثب «نعم.» متفق عليه   
من مات ولم يحج الفريضة. ماذا يجب على ورثته أن يفعلوا؟, عليهم أن يأخذوا من تركته (الإرث) قبل توزيعها ليؤدوا بها فريضة الحج عنه، أو يتبرع أهله من مالهم ليحجوا عنه.  
هل يشترط الاستئذان من الورثة لعمل حج الإنابة عن ميت؟, لا يشترط هذا، فله أن ينوب عن امليت. 
هل يمكن الحج عن ولد مات وهو دون البلوغ؟, من مات دون البلوغ فلا حج عليه. 
